"","Var1","Freq","freq","ethnicity"
"1","0",2378,0.476744186046512,"A"
"2","1",54,0.0108259823576584,"A"
"3","2",49,0.00982357658380112,"A"
"4","3",13,0.00260625501202887,"A"
"5","4",52,0.0104250200481155,"A"
"6","5",76,0.0152365677626303,"A"
"7","6",952,0.190858059342422,"A"
"8","7",39,0.00781876503608661,"A"
"9","8",111,0.0222534081796311,"A"
"10","9",113,0.022654370489174,"A"
"11","10",37,0.0074178027265437,"A"
"12","11",32,0.00641539695268645,"A"
"13","12",155,0.031074578989575,"A"
"14","13",21,0.00421010425020048,"A"
"15","14",160,0.0320769847634322,"A"
"16","15",98,0.0196471531676022,"A"
"17","16",29,0.00581395348837209,"A"
"18","17",38,0.00761828388131516,"A"
"19","18",48,0.00962309542902967,"A"
"20","19",191,0.0382919005613472,"A"
"21","20",29,0.00581395348837209,"A"
"22","21",20,0.00400962309542903,"A"
"23","22",43,0.00862068965517241,"A"
"24","23",31,0.006214915797915,"A"
"25","24",710,0.142341619887731,"A"
"26","25",80,0.0160384923817161,"A"
"27","26",52,0.0104250200481155,"A"
"28","27",197,0.0394947874899759,"A"
"29","28",106,0.0212510024057739,"A"
"30","29",21,0.00421010425020048,"A"
"31","30",48,0.00962309542902967,"A"
"32","31",30,0.00601443464314354,"A"
"33","32",96,0.0192461908580593,"A"
"34","33",92,0.0184442662389735,"A"
"35","34",48,0.00962309542902967,"A"
"36","35",73,0.014635124298316,"A"
"37","36",73,0.014635124298316,"A"
"38","37",128,0.0256615878107458,"A"
"39","38",27,0.00541299117882919,"A"
"40","39",54,0.0108259823576584,"A"
"41","40",25,0.00501202886928629,"A"
"42","41",46,0.00922213311948677,"A"
"43","42",44,0.00882117080994387,"A"
"44","43",79,0.0158380112269447,"A"
"45","44",55,0.0110264635124298,"A"
"46","45",70,0.0140336808340016,"A"
"47","46",69,0.0138331996792302,"A"
"48","0",1219,0.479355092410539,"B"
"49","1",19,0.00747149036570979,"B"
"50","2",24,0.00943767204089658,"B"
"51","3",7,0.0027526543452615,"B"
