"","Var1","Freq","freq","ethnicity"
"1","3",152,0.0304731355252606,"A"
"2","4",932,0.186848436246993,"A"
"3","5",29,0.00581395348837209,"A"
"4","6",58,0.0116279069767442,"A"
"5","7",55,0.0110264635124298,"A"
"6","8",21,0.00421010425020048,"A"
"7","9",27,0.00541299117882919,"A"
"8","10",130,0.0260625501202887,"A"
"9","11",23,0.00461106655974338,"A"
"10","12",143,0.0286688051323176,"A"
"11","13",83,0.0166399358460305,"A"
"12","14",19,0.00380914194065758,"A"
"13","15",38,0.00761828388131516,"A"
"14","16",55,0.0110264635124298,"A"
"15","17",170,0.0340817963111468,"A"
"16","18",40,0.00801924619085806,"A"
"17","19",30,0.00601443464314354,"A"
"18","20",49,0.00982357658380112,"A"
"19","21",40,0.00801924619085806,"A"
"20","22",822,0.164795509222133,"A"
"21","23",67,0.0134322373696872,"A"
"22","24",33,0.0066158781074579,"A"
"23","25",99,0.0198476343223737,"A"
"24","26",66,0.0132317562149158,"A"
"25","27",17,0.00340817963111468,"A"
"26","28",48,0.00962309542902967,"A"
"27","29",37,0.0074178027265437,"A"
"28","30",53,0.0106255012028869,"A"
"29","31",150,0.0300721732157177,"A"
"30","32",44,0.00882117080994387,"A"
"31","33",56,0.0112269446672013,"A"
"32","34",108,0.0216519647153168,"A"
"33","35",109,0.0218524458700882,"A"
"34","36",29,0.00581395348837209,"A"
"35","37",40,0.00801924619085806,"A"
"36","38",79,0.0158380112269447,"A"
"37","39",47,0.00942261427425822,"A"
"38","40",60,0.0120288692862871,"A"
"39","41",157,0.0314755412991179,"A"
"40","42",84,0.0168404170008019,"A"
"41","43",105,0.0210505212510024,"A"
"42","44",74,0.0148356054530874,"A"
"43","45",721,0.144546912590217,"A"
"44","46",73,0.014635124298316,"A"
"45","47",40,0.00801924619085806,"A"
"46","48",58,0.0116279069767442,"A"
"47","49",1622,0.325180433039294,"A"
"48","3",87,0.0342115611482501,"B"
"49","4",441,0.173417223751475,"B"
"50","5",14,0.005505308690523,"B"
"51","6",46,0.0180888714117184,"B"
"52","7",28,0.011010617381046,"B"
"53","8",16,0.00629178136059772,"B"
"54","9",21,0.00825796303578451,"B"
"55","10",65,0.0255603617774282,"B"
"56","11",14,0.005505308690523,"B"
"57","12",84,0.033031852143138,"B"
"58","13",51,0.0200550530869052,"B"
"59","14",16,0.00629178136059772,"B"
"60","15",14,0.005505308690523,"B"
"61","16",17,0.00668501769563508,"B"
"62","17",85,0.0334250884781754,"B"
"63","18",13,0.00511207235548565,"B"
"64","19",34,0.0133700353912702,"B"
"65","20",23,0.00904443570585922,"B"
"66","21",27,0.0106173810460087,"B"
"67","22",457,0.179709005112072,"B"
"68","23",22,0.00865119937082186,"B"
"69","24",23,0.00904443570585922,"B"
"70","25",33,0.0129767990562328,"B"
"71","26",29,0.0114038537160834,"B"
"72","27",12,0.00471883602044829,"B"
"73","28",20,0.00786472670074715,"B"
"74","29",14,0.005505308690523,"B"
"75","30",25,0.00983090837593394,"B"
"76","31",54,0.0212347620920173,"B"
"77","32",20,0.00786472670074715,"B"
"78","33",33,0.0129767990562328,"B"
"79","34",22,0.00865119937082186,"B"
"80","35",69,0.0271333071175777,"B"
"81","36",12,0.00471883602044829,"B"
"82","37",24,0.00943767204089658,"B"
"83","38",22,0.00865119937082186,"B"
"84","39",21,0.00825796303578451,"B"
"85","40",73,0.0287062524577271,"B"
"86","41",92,0.0361777428234369,"B"
"87","42",42,0.016515926071569,"B"
"88","43",48,0.0188753440817932,"B"
"89","44",34,0.0133700353912702,"B"
"90","45",370,0.145497443963822,"B"
"91","46",42,0.016515926071569,"B"
"92","47",12,0.00471883602044829,"B"
"93","48",38,0.0149429807314196,"B"
"94","49",846,0.332677939441604,"B"
"95","3",83,0.033616848926691,"C"
"96","4",463,0.187525313892264,"C"
"97","5",17,0.00688537869582827,"C"
"98","6",33,0.0133657351154313,"C"
"99","7",28,0.0113406237343054,"C"
"100","8",15,0.00607533414337789,"C"
"101","9",29,0.0117456460105306,"C"
"102","10",72,0.0291616038882139,"C"
