"","Var1","Freq","freq","ethnicity"
"103","11",9,0.00364520048602673,"C"
"104","12",83,0.033616848926691,"C"
"105","13",58,0.0234912920210612,"C"
"106","14",15,0.00607533414337789,"C"
"107","15",26,0.010530579181855,"C"
"108","16",17,0.00688537869582827,"C"
"109","17",87,0.0352369380315917,"C"
"110","18",19,0.00769542324827866,"C"
"111","19",13,0.0052652895909275,"C"
"112","20",25,0.0101255569056298,"C"
"113","21",30,0.0121506682867558,"C"
"114","22",406,0.164439044147428,"C"
"115","23",24,0.00972053462940462,"C"
"116","24",17,0.00688537869582827,"C"
"117","25",54,0.0218712029161604,"C"
"118","26",22,0.00891049007695423,"C"
"119","27",10,0.00405022276225192,"C"
"120","28",23,0.00931551235317942,"C"
"121","29",12,0.00486026731470231,"C"
"122","30",29,0.0117456460105306,"C"
"123","31",58,0.0234912920210612,"C"
"124","32",24,0.00972053462940462,"C"
"125","33",28,0.0113406237343054,"C"
"126","34",16,0.00648035641960308,"C"
"127","35",65,0.0263264479546375,"C"
"128","36",20,0.00810044552450385,"C"
"129","37",34,0.0137707573916565,"C"
"130","38",14,0.00567031186715269,"C"
"131","39",25,0.0101255569056298,"C"
"132","40",57,0.023086269744836,"C"
"133","41",72,0.0291616038882139,"C"
"134","42",54,0.0218712029161604,"C"
"135","43",59,0.0238963142972864,"C"
"136","44",48,0.0194410692588092,"C"
"137","45",369,0.149453219927096,"C"
"138","46",45,0.0182260024301337,"C"
"139","47",20,0.00810044552450385,"C"
"140","48",27,0.0109356014580802,"C"
"141","49",766,0.310247063588497,"C"
