"","Var1","Freq","type","freq","ethnicity"
"112","17",8,"deletion",0.00314589068029886,"B"
"113","18",8,"deletion",0.00314589068029886,"B"
"114","19",26,"deletion",0.0102241447109713,"B"
"115","20",18,"deletion",0.00707825403067243,"B"
"116","21",2,"deletion",0.000786472670074715,"B"
"117","22",3,"deletion",0.00117970900511207,"B"
"118","23",11,"deletion",0.00432559968541093,"B"
"119","24",138,"deletion",0.0542666142351553,"B"
"120","25",14,"deletion",0.005505308690523,"B"
"121","26",8,"deletion",0.00314589068029886,"B"
"122","27",18,"deletion",0.00707825403067243,"B"
"123","28",15,"deletion",0.00589854502556036,"B"
"124","29",1,"deletion",0.000393236335037357,"B"
"125","30",11,"deletion",0.00432559968541093,"B"
"126","31",7,"deletion",0.0027526543452615,"B"
"127","32",9,"deletion",0.00353912701533622,"B"
"128","33",14,"deletion",0.005505308690523,"B"
"129","34",11,"deletion",0.00432559968541093,"B"
"130","35",8,"deletion",0.00314589068029886,"B"
"131","36",8,"deletion",0.00314589068029886,"B"
"132","37",21,"deletion",0.00825796303578451,"B"
"133","38",7,"deletion",0.0027526543452615,"B"
"134","39",4,"deletion",0.00157294534014943,"B"
"135","40",3,"deletion",0.00117970900511207,"B"
"136","41",27,"deletion",0.0106173810460087,"B"
"137","42",5,"deletion",0.00196618167518679,"B"
"138","43",22,"deletion",0.00865119937082186,"B"
"139","44",15,"deletion",0.00589854502556036,"B"
"140","45",7,"deletion",0.0027526543452615,"B"
"141","46",13,"deletion",0.00511207235548565,"B"
"142","0",575,"duplication",0.226110892646481,"B"
"143","1",11,"duplication",0.00432559968541093,"B"
"144","2",14,"duplication",0.005505308690523,"B"
"145","3",3,"duplication",0.00117970900511207,"B"
"146","4",23,"duplication",0.00904443570585922,"B"
"147","5",17,"duplication",0.00668501769563508,"B"
"148","6",329,"duplication",0.129374754227291,"B"
"149","7",13,"duplication",0.00511207235548565,"B"
"150","8",51,"duplication",0.0200550530869052,"B"
"151","9",52,"duplication",0.0204482894219426,"B"
"152","10",19,"duplication",0.00747149036570979,"B"
"153","11",6,"duplication",0.00235941801022414,"B"
"154","12",45,"duplication",0.0176956350766811,"B"
"155","13",6,"duplication",0.00235941801022414,"B"
"156","14",58,"duplication",0.0228077074321667,"B"
"157","15",31,"duplication",0.0121903263861581,"B"
"158","16",6,"duplication",0.00235941801022414,"B"
"159","17",11,"duplication",0.00432559968541093,"B"
"160","18",12,"duplication",0.00471883602044829,"B"
"161","19",67,"duplication",0.026346834447503,"B"
"162","20",25,"duplication",0.00983090837593394,"B"
"163","21",3,"duplication",0.00117970900511207,"B"
"164","22",9,"duplication",0.00353912701533622,"B"
"165","23",7,"duplication",0.0027526543452615,"B"
"166","24",278,"duplication",0.109319701140385,"B"
"167","25",27,"duplication",0.0106173810460087,"B"
"168","26",22,"duplication",0.00865119937082186,"B"
"169","27",51,"duplication",0.0200550530869052,"B"
"170","28",36,"duplication",0.0141565080613449,"B"
"171","29",10,"duplication",0.00393236335037357,"B"
"172","30",16,"duplication",0.00629178136059772,"B"
"173","31",11,"duplication",0.00432559968541093,"B"
"174","32",14,"duplication",0.005505308690523,"B"
"175","33",38,"duplication",0.0149429807314196,"B"
"176","34",12,"duplication",0.00471883602044829,"B"
"177","35",15,"duplication",0.00589854502556036,"B"
"178","36",17,"duplication",0.00668501769563508,"B"
"179","37",52,"duplication",0.0204482894219426,"B"
"180","38",9,"duplication",0.00353912701533622,"B"
"181","39",12,"duplication",0.00471883602044829,"B"
"182","40",16,"duplication",0.00629178136059772,"B"
"183","41",16,"duplication",0.00629178136059772,"B"
"184","42",12,"duplication",0.00471883602044829,"B"
"185","43",39,"duplication",0.0153362170664569,"B"
"186","44",25,"duplication",0.00983090837593394,"B"
"187","45",19,"duplication",0.00747149036570979,"B"
"188","46",23,"duplication",0.00904443570585922,"B"
"189","0",622,"deletion",0.25192385581207,"C"
"190","1",5,"deletion",0.00202511138112596,"C"
"191","2",11,"deletion",0.00445524503847712,"C"
"192","3",2,"deletion",0.000810044552450385,"C"
"193","4",12,"deletion",0.00486026731470231,"C"
