"","Var1","Freq","type","freq","ethnicity"
"1","3",41,"deletion",0.00821972734562951,"A"
"2","4",333,"deletion",0.0667602245388933,"A"
"3","5",14,"deletion",0.00280673616680032,"A"
"4","6",26,"deletion",0.00521251002405774,"A"
"5","7",25,"deletion",0.00501202886928629,"A"
"6","8",7,"deletion",0.00140336808340016,"A"
"7","9",9,"deletion",0.00180433039294306,"A"
"8","10",42,"deletion",0.00842020850040096,"A"
"9","11",7,"deletion",0.00140336808340016,"A"
"10","12",40,"deletion",0.00801924619085806,"A"
"11","13",20,"deletion",0.00400962309542903,"A"
"12","14",6,"deletion",0.00120288692862871,"A"
"13","15",13,"deletion",0.00260625501202887,"A"
"14","16",25,"deletion",0.00501202886928629,"A"
"15","17",59,"deletion",0.0118283881315156,"A"
"16","18",16,"deletion",0.00320769847634322,"A"
"17","19",6,"deletion",0.00120288692862871,"A"
"18","20",11,"deletion",0.00220529270248597,"A"
"19","21",15,"deletion",0.00300721732157177,"A"
"20","22",281,"deletion",0.0563352044907779,"A"
"21","23",20,"deletion",0.00400962309542903,"A"
"22","24",15,"deletion",0.00300721732157177,"A"
"23","25",38,"deletion",0.00761828388131516,"A"
"24","26",33,"deletion",0.0066158781074579,"A"
"25","27",7,"deletion",0.00140336808340016,"A"
"26","28",11,"deletion",0.00220529270248597,"A"
"27","29",10,"deletion",0.00200481154771451,"A"
"28","30",20,"deletion",0.00400962309542903,"A"
"29","31",53,"deletion",0.0106255012028869,"A"
"30","32",13,"deletion",0.00260625501202887,"A"
"31","33",20,"deletion",0.00400962309542903,"A"
"32","34",46,"deletion",0.00922213311948677,"A"
"33","35",39,"deletion",0.00781876503608661,"A"
"34","36",11,"deletion",0.00220529270248597,"A"
"35","37",12,"deletion",0.00240577385725742,"A"
"36","38",44,"deletion",0.00882117080994387,"A"
"37","39",15,"deletion",0.00300721732157177,"A"
"38","40",28,"deletion",0.00561347233360064,"A"
"39","41",52,"deletion",0.0104250200481155,"A"
"40","42",25,"deletion",0.00501202886928629,"A"
"41","43",43,"deletion",0.00862068965517241,"A"
"42","44",24,"deletion",0.00481154771451484,"A"
"43","45",277,"deletion",0.0555332798716921,"A"
"44","46",23,"deletion",0.00461106655974338,"A"
"45","47",16,"deletion",0.00320769847634322,"A"
"46","48",22,"deletion",0.00441058540497193,"A"
"47","49",1019,"deletion",0.204290296712109,"A"
"48","3",111,"duplication",0.0222534081796311,"A"
"49","4",599,"duplication",0.120088211708099,"A"
"50","5",15,"duplication",0.00300721732157177,"A"
"51","6",32,"duplication",0.00641539695268645,"A"
"52","7",30,"duplication",0.00601443464314354,"A"
"53","8",14,"duplication",0.00280673616680032,"A"
"54","9",18,"duplication",0.00360866078588613,"A"
"55","10",88,"duplication",0.0176423416198877,"A"
"56","11",16,"duplication",0.00320769847634322,"A"
"57","12",103,"duplication",0.0206495589414595,"A"
"58","13",63,"duplication",0.0126303127506014,"A"
"59","14",13,"duplication",0.00260625501202887,"A"
"60","15",25,"duplication",0.00501202886928629,"A"
"61","16",30,"duplication",0.00601443464314354,"A"
"62","17",111,"duplication",0.0222534081796311,"A"
"63","18",24,"duplication",0.00481154771451484,"A"
"64","19",24,"duplication",0.00481154771451484,"A"
"65","20",38,"duplication",0.00761828388131516,"A"
"66","21",25,"duplication",0.00501202886928629,"A"
"67","22",541,"duplication",0.108460304731355,"A"
"68","23",47,"duplication",0.00942261427425822,"A"
"69","24",18,"duplication",0.00360866078588613,"A"
"70","25",61,"duplication",0.0122293504410585,"A"
"71","26",33,"duplication",0.0066158781074579,"A"
"72","27",10,"duplication",0.00200481154771451,"A"
"73","28",37,"duplication",0.0074178027265437,"A"
"74","29",27,"duplication",0.00541299117882919,"A"
"75","30",33,"duplication",0.0066158781074579,"A"
"76","31",97,"duplication",0.0194466720128308,"A"
"77","32",31,"duplication",0.006214915797915,"A"
"78","33",36,"duplication",0.00721732157177225,"A"
"79","34",62,"duplication",0.01242983159583,"A"
"80","35",70,"duplication",0.0140336808340016,"A"
"81","36",18,"duplication",0.00360866078588613,"A"
"82","37",28,"duplication",0.00561347233360064,"A"
"83","38",35,"duplication",0.0070168404170008,"A"
"84","39",32,"duplication",0.00641539695268645,"A"
"85","40",32,"duplication",0.00641539695268645,"A"
"86","41",105,"duplication",0.0210505212510024,"A"
"87","42",59,"duplication",0.0118283881315156,"A"
"88","43",62,"duplication",0.01242983159583,"A"
"89","44",50,"duplication",0.0100240577385726,"A"
"90","45",444,"duplication",0.0890136327185245,"A"
"91","46",50,"duplication",0.0100240577385726,"A"
"92","47",24,"duplication",0.00481154771451484,"A"
"93","48",36,"duplication",0.00721732157177225,"A"
"94","49",603,"duplication",0.120890136327185,"A"
"95","3",26,"deletion",0.0102241447109713,"B"
"96","4",143,"deletion",0.0562327959103421,"B"
"97","5",7,"deletion",0.0027526543452615,"B"
"98","6",17,"deletion",0.00668501769563508,"B"
"99","7",12,"deletion",0.00471883602044829,"B"
"100","8",7,"deletion",0.0027526543452615,"B"
"101","9",10,"deletion",0.00393236335037357,"B"
"102","10",20,"deletion",0.00786472670074715,"B"
"103","11",6,"deletion",0.00235941801022414,"B"
"104","12",21,"deletion",0.00825796303578451,"B"
"105","13",15,"deletion",0.00589854502556036,"B"
"106","14",5,"deletion",0.00196618167518679,"B"
"107","15",4,"deletion",0.00157294534014943,"B"
"108","16",6,"deletion",0.00235941801022414,"B"
"109","17",25,"deletion",0.00983090837593394,"B"
"110","18",2,"deletion",0.000786472670074715,"B"
"111","19",26,"deletion",0.0102241447109713,"B"
"112","20",9,"deletion",0.00353912701533622,"B"
"113","21",8,"deletion",0.00314589068029886,"B"
"114","22",147,"deletion",0.0578057412504915,"B"
"115","23",9,"deletion",0.00353912701533622,"B"
"116","24",10,"deletion",0.00393236335037357,"B"
"117","25",10,"deletion",0.00393236335037357,"B"
"118","26",13,"deletion",0.00511207235548565,"B"
"119","27",6,"deletion",0.00235941801022414,"B"
"120","28",8,"deletion",0.00314589068029886,"B"
"121","29",4,"deletion",0.00157294534014943,"B"
"122","30",8,"deletion",0.00314589068029886,"B"
"123","31",18,"deletion",0.00707825403067243,"B"
"124","32",5,"deletion",0.00196618167518679,"B"
"125","33",14,"deletion",0.005505308690523,"B"
"126","34",4,"deletion",0.00157294534014943,"B"
"127","35",20,"deletion",0.00786472670074715,"B"
"128","36",6,"deletion",0.00235941801022414,"B"
"129","37",8,"deletion",0.00314589068029886,"B"
"130","38",7,"deletion",0.0027526543452615,"B"
"131","39",5,"deletion",0.00196618167518679,"B"
"132","40",23,"deletion",0.00904443570585922,"B"
"133","41",31,"deletion",0.0121903263861581,"B"
"134","42",20,"deletion",0.00786472670074715,"B"
"135","43",16,"deletion",0.00629178136059772,"B"
"136","44",9,"deletion",0.00353912701533622,"B"
"137","45",138,"deletion",0.0542666142351553,"B"
"138","46",16,"deletion",0.00629178136059772,"B"
"139","47",3,"deletion",0.00117970900511207,"B"
"140","48",16,"deletion",0.00629178136059772,"B"
"141","49",499,"deletion",0.196224931183641,"B"
"142","3",61,"duplication",0.0239874164372788,"B"
"143","4",298,"duplication",0.117184427841133,"B"
"144","5",7,"duplication",0.0027526543452615,"B"
"145","6",29,"duplication",0.0114038537160834,"B"
"146","7",16,"duplication",0.00629178136059772,"B"
"147","8",9,"duplication",0.00353912701533622,"B"
"148","9",11,"duplication",0.00432559968541093,"B"
"149","10",45,"duplication",0.0176956350766811,"B"
"150","11",8,"duplication",0.00314589068029886,"B"
"151","12",63,"duplication",0.0247738891073535,"B"
"152","13",36,"duplication",0.0141565080613449,"B"
"153","14",11,"duplication",0.00432559968541093,"B"
"154","15",10,"duplication",0.00393236335037357,"B"
"155","16",11,"duplication",0.00432559968541093,"B"
"156","17",60,"duplication",0.0235941801022414,"B"
"157","18",11,"duplication",0.00432559968541093,"B"
"158","19",8,"duplication",0.00314589068029886,"B"
"159","20",14,"duplication",0.005505308690523,"B"
"160","21",19,"duplication",0.00747149036570979,"B"
"161","22",310,"duplication",0.121903263861581,"B"
"162","23",13,"duplication",0.00511207235548565,"B"
"163","24",13,"duplication",0.00511207235548565,"B"
"164","25",23,"duplication",0.00904443570585922,"B"
"165","26",16,"duplication",0.00629178136059772,"B"
"166","27",6,"duplication",0.00235941801022414,"B"
"167","28",12,"duplication",0.00471883602044829,"B"
"168","29",10,"duplication",0.00393236335037357,"B"
"169","30",17,"duplication",0.00668501769563508,"B"
"170","31",36,"duplication",0.0141565080613449,"B"
"171","32",15,"duplication",0.00589854502556036,"B"
"172","33",19,"duplication",0.00747149036570979,"B"
"173","34",18,"duplication",0.00707825403067243,"B"
"174","35",49,"duplication",0.0192685804168305,"B"
"175","36",6,"duplication",0.00235941801022414,"B"
"176","37",16,"duplication",0.00629178136059772,"B"
"177","38",15,"duplication",0.00589854502556036,"B"
"178","39",16,"duplication",0.00629178136059772,"B"
"179","40",50,"duplication",0.0196618167518679,"B"
"180","41",61,"duplication",0.0239874164372788,"B"
"181","42",22,"duplication",0.00865119937082186,"B"
"182","43",32,"duplication",0.0125835627211954,"B"
"183","44",25,"duplication",0.00983090837593394,"B"
"184","45",232,"duplication",0.0912308297286669,"B"
"185","46",26,"duplication",0.0102241447109713,"B"
"186","47",9,"duplication",0.00353912701533622,"B"
"187","48",22,"duplication",0.00865119937082186,"B"
"188","49",347,"duplication",0.136453008257963,"B"
"189","3",25,"deletion",0.0101255569056298,"C"
"190","4",152,"deletion",0.0615633859862292,"C"
"191","5",6,"deletion",0.00243013365735115,"C"
"192","6",11,"deletion",0.00445524503847712,"C"
"193","7",16,"deletion",0.00648035641960308,"C"
"194","8",5,"deletion",0.00202511138112596,"C"
"195","9",12,"deletion",0.00486026731470231,"C"
"196","10",22,"deletion",0.00891049007695423,"C"
"197","11",3,"deletion",0.00121506682867558,"C"
"198","12",20,"deletion",0.00810044552450385,"C"
"199","13",21,"deletion",0.00850546780072904,"C"
"200","14",3,"deletion",0.00121506682867558,"C"
"201","15",6,"deletion",0.00243013365735115,"C"
"202","16",6,"deletion",0.00243013365735115,"C"
"203","17",28,"deletion",0.0113406237343054,"C"
"204","18",6,"deletion",0.00243013365735115,"C"
"205","19",4,"deletion",0.00162008910490077,"C"
"206","20",4,"deletion",0.00162008910490077,"C"
"207","21",6,"deletion",0.00243013365735115,"C"
"208","22",140,"deletion",0.0567031186715269,"C"
"209","23",7,"deletion",0.00283515593357635,"C"
"210","24",6,"deletion",0.00243013365735115,"C"
"211","25",16,"deletion",0.00648035641960308,"C"
"212","26",10,"deletion",0.00405022276225192,"C"
"213","27",2,"deletion",0.000810044552450385,"C"
"214","28",10,"deletion",0.00405022276225192,"C"
"215","29",2,"deletion",0.000810044552450385,"C"
"216","30",7,"deletion",0.00283515593357635,"C"
"217","31",21,"deletion",0.00850546780072904,"C"
"218","32",7,"deletion",0.00283515593357635,"C"
"219","33",6,"deletion",0.00243013365735115,"C"
"220","34",4,"deletion",0.00162008910490077,"C"
"221","35",10,"deletion",0.00405022276225192,"C"
