"","de.se","de.sd","du.se","du.sd","nor.se","nor.sd","probe"
"1",0.003406423600422,0.183915330758932,0.00142731822184356,0.0772204221424121,0.00223597035388641,0.144233087067471,"CNSL_probe_0"
"2",0.00343130917573194,0.186209786080421,0.00156833911260875,0.0841220609890307,0.00224226654433756,0.144986418152639,"CNSL_probe_1"
"3",0.00338426391428316,0.182906863150286,0.00136819776313689,0.0742995634986283,0.00221957996352325,0.142693272586413,"CNSL_probe_2"
"4",0.00349381399959436,0.189247362459497,0.00166302255516429,0.0886096121755357,0.00224967218053078,0.146315192003369,"CNSL_probe_3"
"5",0.0035005070913476,0.190061740219074,0.00178312957094336,0.0942194596589753,0.00219663514830973,0.14342194068736,"CNSL_probe_4"
"6",0.00925751024099133,0.688922988500228,0.00982338747575001,0.514392940843375,0.00351675713345269,0.145977195505307,"CNSL_probe_5"
"7",0.00338394257095722,0.182168035350906,0.00139651729190711,0.0754765596500377,0.00223087959431062,0.144301873272246,"CNSL_probe_6"
"8",0.00343230937322433,0.185440023571654,0.00169467022759798,0.0904547597238233,0.0022263432754435,0.144883468863001,"CNSL_probe_7"
"9",0.00345946234939158,0.187641952172898,0.00161956169464831,0.086445764822909,0.00221035074022026,0.143451592751231,"CNSL_probe_8"
"10",0.00338325485780518,0.182005275952934,0.00141229575772767,0.0760282239207426,0.00223473650012233,0.145017008879602,"CNSL_probe_9"
"11",0.00339315359439088,0.182852888353264,0.00157493647255146,0.0850903065067937,0.00223708010579957,0.1446337599975,"CNSL_probe_10"
"12",0.00347661562654722,0.188283693605868,0.00190429454141933,0.101357854680623,0.00221645605356525,0.144274094355864,"CNSL_probe_11"
"13",0.00338581082750051,0.18223715932273,0.00153382496038634,0.0829400867049257,0.00224301382689679,0.145052081397108,"CNSL_probe_12"
"14",0.00350661388833483,0.192257121926236,0.00192279691512111,0.102613242020337,0.00222130976073894,0.143080629553886,"CNSL_probe_13"
"15",0.00341670620197465,0.18548026338264,0.00177962056312296,0.0949056813245369,0.00223337986762312,0.144946181345474,"CNSL_probe_14"
"16",0.00338916565521114,0.18339113271644,0.00156158536483635,0.0842677533583646,0.00222238905781889,0.143391462913646,"CNSL_probe_15"
"17",0.00340679543972487,0.184502429274321,0.00157265233004792,0.0848940976358889,0.00222701108848706,0.143568825939141,"CNSL_probe_16"
"18",0.00340748315566458,0.183814688306895,0.00160559821493839,0.0865684003551724,0.0022293709597363,0.144238750519476,"CNSL_probe_17"
"19",0.00346981372683698,0.189160547928125,0.00186898132413831,0.099688737756513,0.0022603118416752,0.146240604060874,"CNSL_probe_18"
"20",0.00338751570910149,0.182737556066292,0.00154645435502048,0.0832791156849618,0.0022284096351353,0.144297052089551,"CNSL_probe_19"
"21",0.00344646892073886,0.186619211228069,0.00187200108646021,0.10060155435947,0.00223353626725317,0.144456451041816,"CNSL_probe_20"
"22",0.00346135672248068,0.187137475731203,0.00189470810723788,0.10162773450721,0.00223917620610046,0.145167021304789,"CNSL_probe_21"
"23",0.00346978683424292,0.188265914247512,0.00188739951884289,0.1012709006625,0.0022358913887265,0.144556905968265,"CNSL_probe_22"
"24",0.00545200753447313,0.358301024011313,0.00576064790907436,0.302858907438002,0.00271938873719079,0.146947675393534,"CNSL_probe_23"
"25",0.00347308908965988,0.188988390937062,0.00201805378022389,0.108224895879844,0.00222307111025103,0.143487142774869,"CNSL_probe_24"
"26",0.00344454970537166,0.187467066325695,0.00189551577205246,0.101724050849575,0.00221890290092637,0.143132137126642,"CNSL_probe_25"
"27",0.00360094311157695,0.195382275465414,0.00211006102365251,0.112666194129408,0.00224676203050163,0.145745428498219,"CNSL_probe_26"
"28",0.00351773556196682,0.191385506014487,0.00214845960137603,0.115558370357793,0.00225756532263033,0.145433472494001,"CNSL_probe_27"
"29",0.00349891988273062,0.190618894515309,0.00199107783474605,0.107499765589557,0.00224314192119575,0.143981057767812,"CNSL_probe_28"
"30",0.00350841937787322,0.190652816098138,0.00204669686250075,0.109665524495404,0.00224678097419474,0.145243572709943,"CNSL_probe_29"
"31",0.00352201865908965,0.192135721651357,0.00200335136667184,0.107567096927133,0.00223088044876849,0.143610492227533,"CNSL_probe_30"
