"","A-B","A-C","B-C"
"Index1",0.00359338339020709,0.0568952253460208,0.50528249306272
"Index2",0.00782439723600703,0.09278452390459,0.671359539071713
"Index3",0.254718305497837,0.204068700187126,0.18960339523747
"Index4",0.225571136765556,0.77445037699484,0.615058523504291
